paperid,title,decision,soundness,presentation,contribution,review_rating,confidence
gtkFw6sZGS,Generative Judge for Evaluating Alignment,Accept (poster),"['3', '3', '3']","['3', '2', '2']","['2', '2', '3']","['5', '5', '6']","['4', '3', '2']"
gYcft1HIaU,Do Current Large Language Models Master Adequate Clinical Knowledge?,Reject,"['2', '3', '2']","['3', '2', '1']","['2', '2', '2']","['5', '5', '3']","['4', '4', '2']"
hxAveMWogn,InstaTAP: Instance Motion Estimation for Tracking Any Point,N/A,"['2', '3', '3']","['2', '3', '3']","['2', '2', '2']","['3', '5', '3']","['4', '4', '4']"
JzvIWvC9MG,Efficient Inverse Multiagent Learning,Accept (spotlight),"['2', '2', '4', '4']","['2', '1', '3', '3']","['3', '2', '4', '3']","['6', '6', '10', '8']","['2', '2', '3', '3']"
miGpIhquyB,Understanding Large Language Models Through the Lens of Dataset Generation,Reject,"['3', '4', '2', '2']","['4', '3', '3', '3']","['3', '3', '3', '2']","['8', '6', '5', '3']","['4', '4', '4', '5']"
5t57omGVMw,Learning to Relax: Setting Solver Parameters Across a Sequence of Linear System Instances,Accept (spotlight),"['3', '3', '3', '3']","['3', '4', '3', '3']","['3', '3', '4', '3']","['8', '8', 'N/A', '8']","['3', '3', 'N/A', '2']"
9Ik05cycLq,Certifying LLM Safety against Adversarial Prompting,Accept,"['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A']","['5', '6', '5', '7']","['4', '3', '3', '3']"
WpMHBIYsUf,Homeomorphic Model Transformation for Boosting Performance and Efficiency in Object Detection Networks,N/A,"['3', '3', '2', '2']","['4', '3', '2', '2']","['4', '3', '2', '2']","['8', '6', '3', '3']","['4', '4', '5', '4']"
M6XWoEdmwf,AMAGO: Scalable In-Context Reinforcement Learning for Adaptive Agents,Accept (spotlight),"['3', '3', '3', '3']","['3', '2', '4', '3']","['3', '4', '2', '4']","['6', '8', '8', '8']","['4', '3', '3', '4']"
Re5KnZcXhf,Constrained Variational Generation for Generalizable Graph Learning,N/A,"['3', '3', '3', '3']","['3', '3', '3', '3']","['3', '3', '2', '2']","['6', '8', '6', '6']","['4', '3', '4', '4']"
JWrl5pJCnl,Instruct2Act: Mapping Multi-modality Instructions to Robotic Arm Actions with Large Language Model,Reject,"['3', '3', '3', '2']","['2', '4', '3', '2']","['2', '2', '3', '2']","['6', '3', '6', '5']","['4', '4', '4', '4']"
My7lkRNnL9,Forward Learning with Top-Down Feedback: Empirical and Analytical Characterization,Accept (poster),"['4', '3', '2', '3']","['3', '4', '2', '2']","['4', '3', '2', '3']","['8', '8', '5', '5']","['3', '4', '4', '3']"
KS8mIvetg2,Proving Test Set Contamination in Black-Box Language Models,Accept (oral),"['3', '3', '3', '2']","['3', '4', '3', '3']","['3', '4', '3', '2']","['8', '8', '8', '6']","['3', '3', '3', '3']"
AZGIwqCyYY,Towards Cross Domain Generalization of Hamiltonian Representation via Meta Learning,Accept (poster),"['3', '2', '3', '2']","['3', '3', '3', '3']","['3', '3', '3', '2']","['6', '6', '6', '5']","['4', '3', '2', '3']"
AOSsLRKQrX,DisFormer: Disentangled Object Representations for Learning Visual Dynamics Via Transformers,Reject,"['2', '3', '3', '2']","['2', '2', '2', '3']","['2', '2', '3', '2']","['3', '3', 'N/A', '3']","['3', '4', 'N/A', '3']"
RvUVMjfp8i,Realistic Evaluation of Semi-supervised Learning Algorithms in Open Environments,Accept (spotlight),"['3', '4', '3', '3']","['3', '3', '3', '4']","['4', '4', '3', '4']","['8', '8', '8', '8']","['5', '4', '5', '5']"
fMX07g3prp,FR-NAS: Forward-and-Reverse Graph Predictor for Efficient Neural Architecture Search,N/A,"['3', '2', '3', '2']","['3', '2', '3', '2']","['2', '1', '3', '2']","['3', '3', '5', '5']","['5', '5', '4', '4']"
RzNlECeoOB,t3-Variational Autoencoder: Learning Heavy-tailed Data with Student's t and Power Divergence,Accept (poster),"['4', '3', '3']","['3', '3', '3']","['3', '3', '3']","['8', '6', '8']","['3', '4', '4']"
n9xeGcI4Yg,The Consensus Game: Language Model Generation via Equilibrium Search,Accept (spotlight),"['4', '3', '3', '3']","['3', '3', '3', '3']","['4', '2', '3', '3']","['10', '6', '8', '6']","['4', '2', '4', '3']"
